시도별,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,253095,252825,252874,252794,252632,252957,253055,252324,251620,250767
서울특별시,43027,42731,42533,42203,41995,41900,41832,41624,41220,40991
부산광역시,18354,18264,18244,18241,18197,18134,18057,18023,17874,17740
대구광역시,12228,12239,12198,12153,12096,12067,12035,11961,11874,11788
인천광역시,13606,13626,13700,13768,13786,13756,13754,13727,13751,13800
광주광역시,7361,7312,7276,7266,7290,7356,7338,7290,7204,7146
대전광역시,7203,7199,7216,7203,7133,7080,7035,6996,6942,6905
울산광역시,4902,4949,5001,4971,4937,4918,4903,4861,4834,4790
세종특별자치시,711,805,917,985,1053,1124,1182,1195,1217,1240
경기도,50087,50397,50868,51482,52038,52988,53728,54212,54660,54916
강원도,9497,9433,9408,9450,9459,9415,9428,9434,9419,9396
충청북도,8934,8952,8979,8983,8965,8993,8936,8863,8803,8793
충청남도,12116,12128,12097,12058,12076,12052,12084,12081,12163,12146
전라북도,12061,11976,11868,11772,11693,11583,11422,11256,11188,11058
전라남도,14794,14608,14500,14338,14198,14078,13968,13846,13621,13412
경상북도,17053,16963,16785,16600,16396,16234,16133,15828,15771,15612
경상남도,16930,16984,17051,17051,17067,17054,17027,16985,16961,16937
제주특별자치도,4231,4259,4233,4270,4253,4225,4193,4142,4118,4097
