시도별,합계,합계.1,합계.2,합계.3,합계.4,합계.5,합계.6,합계.7,합계.8,합계.9
시도별,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,2501112,2494460,2490406,2511051,2545637,2585876,2618918,2633026,2644700,2652860
서울특별시,403435,398908,393245,391027,391753,392920,394843,394190,392123,391859
부산광역시,169750,168663,168084,168950,171384,173820,175378,176293,176451,176245
대구광역시,116567,115983,115694,117111,119766,123070,125485,126398,127282,127611
인천광역시,133778,133855,134191,135623,138304,141771,144574,146321,148646,151035
광주광역시,68372,68288,68079,68569,69233,69884,70177,70061,69819,69476
대전광역시,71441,71198,70890,71425,72180,72927,73222,72853,72489,71941
울산광역시,48950,49014,49326,49533,50205,50640,51014,51122,51330,51473
세종특별자치시,7202,7943,9079,9845,10623,11404,12046,12346,12630,12863
경기도,506464,508330,512882,522437,533259,547386,559878,569726,578668,584834
강원도,99660,98970,98324,98928,99959,100693,101484,101615,101714,101794
충청북도,93563,93612,93536,94688,95844,97086,97688,97932,97839,97966
충청남도,124561,124721,124801,126406,128503,131910,133724,134250,134749,134957
전라북도,132006,130932,129769,130345,131303,131746,132364,132207,132057,132014
전라남도,144324,143128,141837,141578,142174,142213,141888,140942,139868,138595
경상북도,168836,168650,168089,169643,172533,176550,180898,181366,182538,182835
경상남도,179530,179276,179070,180665,183510,186016,187968,188749,189621,190186
제주특별자치도,32673,32989,33510,34278,35104,35840,36287,36655,36876,37176
